search_term,video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
seattle homeless,/watch?v=h_T-g8x8LAg&pp=ygUQc2VhdHRsZSBob21lbGVzcw%3D%3D,/@KING5Seattle,KING 5 Seattle,New Seattle shelter aims to help homelessness crisis,1.1K,6 years,City and county crews were out in force this morning clearing a site known to house people who are homeless. This latest push ...,2026-01-22 05:38:57.399813
seattle homeless,/watch?v=1IvPqG9-vyY&pp=ygUQc2VhdHRsZSBob21lbGVzcw%3D%3D,/@fox13seattle,FOX 13 Seattle,Death at encampment raises questions of regional homelessness | FOX 13 Seattle,15K,2 years,A recent death at a Seattle homeless encampment is considered an example of a broken support system for some of the region's ...,2026-01-22 05:38:57.403318
seattle homeless,/watch?v=kHRhCNxpC7g&pp=ygUQc2VhdHRsZSBob21lbGVzcw%3D%3D,/@fox13seattle,FOX 13 Seattle,Community baffled by inflatable pool at homeless encampment | FOX 13 Seattle,347K,2 years,There's a heated discussion happening in the Highland Park neighborhood where someone inflated and filled a swimming pool ...,2026-01-22 05:38:57.404682
seattle homeless,/watch?v=xN6sHV9oUeo&pp=ygUQc2VhdHRsZSBob21lbGVzcw%3D%3D,/@komonews,KOMO News,Unified Care Team addresses concerns about homeless camp removals in Seattle,3K,8 months,"Seattle's procedures around homeless camp removals have raised a lot of questions in Ballard, where neighbors said it seems ...",2026-01-22 05:38:57.408177
seattle homeless,/shorts/00IblOaKHZA,/@komonews,KOMO News,A 25-acre West Seattle #encampment is being cleared following a dangerous summer,11K,2 years,Cleanup is underway on a 25-acre encampment in a heavily wooded area in the Highland Park neighborhood of West Seattle.,2026-01-22 05:38:57.410348
seattle homeless,/watch?v=Sknb4zwN9A4&pp=ygUQc2VhdHRsZSBob21lbGVzcw%3D%3D,/@komonews,KOMO News,Seattle mayoral candidates present contrasting solutions to city's homelessness crisis,2.5K,2 months,"Addressing homelessness is among the top issues in the mayor's race in Seattle, and voters have two very different approaches to ...",2026-01-22 05:38:57.416092
seattle homeless,/watch?v=IxVFpOjShKY&pp=ygUQc2VhdHRsZSBob21lbGVzcw%3D%3D,/@KING5Seattle,KING 5 Seattle,Seattle begins removing Ballard Commons homeless encampment,10K,4 years,"Residents in the area have been voicing their frustrations about the camp for months, saying the encampment has become a ...",2026-01-22 05:38:57.417338
seattle homeless,/watch?v=C5WWGUiv-VQ&pp=ygUQc2VhdHRsZSBob21lbGVzcw%3D%3D,/@fox13seattle,FOX 13 Seattle,"Seattle to use point-based system to prioritize, remove homeless encampments | FOX 13 Seattle",10K,3 years,"New information has become available shedding light on a ""point system"" the City of Seattle is testing to decide which ...",2026-01-22 05:38:57.422860
seattle homeless,/watch?v=i0vxKmUm5Jg&pp=ygUQc2VhdHRsZSBob21lbGVzcw%3D%3D,/@KING5Seattle,KING 5 Seattle,Crews clean up homeless encampments near I-90 in Seattle after rock-throwing incidents,10K,4 years,"After police arrested a person suspected of damaging at least three more vehicles on I-90, WSDOT says it will clear two ...",2026-01-22 05:38:57.426176
seattle homeless,/watch?v=kPlG-hDEKX0&pp=ygUQc2VhdHRsZSBob21lbGVzcw%3D%3D,/@KING5Seattle,KING 5 Seattle,"Encampment death in south Seattle, calls to clean it up grow more urgent",8.8K,2 years,"A homeless encampment in south Seattle remains uncleared, drawing urgent calls for action. People who live near the site say ...",2026-01-22 05:38:57.427479
seattle homeless,/watch?v=JphWsTmeJag&pp=ygUQc2VhdHRsZSBob21lbGVzc9IHCQmHCgGHKiGM7w%3D%3D,/@discoveryinstitute,Discovery Institute,Billy Baldwin Witnesses Seattle's Homelessness Crisis,22K,1 year,Discovery Institute is going Hollywood! Our Senior Fellow Dr. Robert Marbut teamed up with film producer Robert Craig and actor ...,2026-01-22 05:38:57.431990
seattle homeless,/watch?v=hgxHQVwnLek&pp=ygUQc2VhdHRsZSBob21lbGVzc9IHCQmHCgGHKiGM7w%3D%3D,/@KING5Seattle,KING 5 Seattle,"Seattle group pushes ballot measure to build housing for homeless, ban encampments in parks",1.2K,4 years,"The proposal would require Seattle to build at least 2000 units of housing, boost services for homelessness and ban ...",2026-01-22 05:38:57.435566
